name,batch_id,open,close,volume,item_url
Sticker | Team Liquid (Holo) | Paris 2023,2025-07-27 01:44:00,1.65,1.7,103,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
Desert Eagle | Mecha Industries (Factory New),2025-07-27 01:44:00,14.0,14.4,23,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
Glove Case,2025-07-27 01:44:00,17.64,17.65,3136,https://steamcommunity.com/market/listings/730/Glove%20Case
Sticker | FaZe Clan (Holo) | Paris 2023,2025-07-27 01:44:00,1.39,1.33,129,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
M4A4 | Desolate Space (Factory New),2025-07-27 01:44:00,68.33,65.24,10,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
Sticker | Hypnoteyes (Holo),2025-07-27 01:44:00,1.17,1.13,268,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
M4A4 | 龍王 (Dragon King) (Factory New),2025-07-27 01:44:00,67.39,59.53,22,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
M4A1-S | Decimator (Factory New),2025-07-27 01:44:00,102.86,102.99,13,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
AWP | Hyper Beast (Factory New),2025-07-27 01:44:00,126.5,123.06,9,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
Operation Broken Fang Case,2025-07-27 01:44:00,13.47,13.71,552,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
M4A4 | Neo-Noir (Factory New),2025-07-27 01:44:00,77.24,76.16,13,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
Operation Riptide Case,2025-07-27 01:44:00,20.05,20.08,276,https://steamcommunity.com/market/listings/730/Operation%20Riptide%20Case
AK-47 | Bloodsport (Factory New),2025-07-27 01:44:00,436.95,431.28,15,https://steamcommunity.com/market/listings/730/AK-47%20|%20Bloodsport%20(Factory%20New)
